 VARIABLES = X, RHO, U, T, P, PERTURBATION, error1, error2, N
ZONE I =  600, DATAPACKING=BLOCK
 8.3333333333333339E-04   2.5000000000000001E-03   4.1666666666666666E-03   5.8333333333333336E-03   7.5000000000000006E-03   9.1666666666666667E-03   1.0833333333333334E-02   1.2500000000000001E-02   1.4166666666666668E-02
 1.5833333333333335E-02   1.7500000000000002E-02   1.9166666666666669E-02   2.0833333333333336E-02   2.2500000000000003E-02   2.4166666666666670E-02   2.5833333333333337E-02   2.7500000000000000E-02   2.9166666666666667E-02
 3.0833333333333334E-02   3.2500000000000001E-02   3.4166666666666672E-02   3.5833333333333335E-02   3.7500000000000006E-02   3.9166666666666669E-02   4.0833333333333333E-02   4.2500000000000003E-02   4.4166666666666667E-02
 4.5833333333333337E-02   4.7500000000000001E-02   4.9166666666666671E-02   5.0833333333333335E-02   5.2500000000000005E-02   5.4166666666666669E-02   5.5833333333333339E-02   5.7500000000000002E-02   5.9166666666666673E-02
 6.0833333333333336E-02   6.2500000000000000E-02   6.4166666666666677E-02   6.5833333333333341E-02   6.7500000000000004E-02   6.9166666666666668E-02   7.0833333333333331E-02   7.2500000000000009E-02   7.4166666666666672E-02
 7.5833333333333336E-02   7.7499999999999999E-02   7.9166666666666677E-02   8.0833333333333340E-02   8.2500000000000004E-02   8.4166666666666667E-02   8.5833333333333345E-02   8.7500000000000008E-02   8.9166666666666672E-02
 9.0833333333333335E-02   9.2500000000000013E-02   9.4166666666666676E-02   9.5833333333333340E-02   9.7500000000000003E-02   9.9166666666666667E-02   1.0083333333333334E-01   1.0250000000000001E-01   1.0416666666666667E-01
 1.0583333333333333E-01   1.0750000000000001E-01   1.0916666666666668E-01   1.1083333333333334E-01   1.1250000000000000E-01   1.1416666666666668E-01   1.1583333333333334E-01   1.1750000000000001E-01   1.1916666666666667E-01
 1.2083333333333333E-01   1.2250000000000001E-01   1.2416666666666668E-01   1.2583333333333335E-01   1.2750000000000000E-01   1.2916666666666668E-01   1.3083333333333333E-01   1.3250000000000001E-01   1.3416666666666668E-01
 1.3583333333333333E-01   1.3750000000000001E-01   1.3916666666666669E-01   1.4083333333333334E-01   1.4250000000000002E-01   1.4416666666666667E-01   1.4583333333333334E-01   1.4750000000000002E-01   1.4916666666666667E-01
 1.5083333333333335E-01   1.5250000000000000E-01   1.5416666666666667E-01   1.5583333333333335E-01   1.5750000000000000E-01   1.5916666666666668E-01   1.6083333333333336E-01   1.6250000000000001E-01   1.6416666666666668E-01
 1.6583333333333333E-01   1.6750000000000001E-01   1.6916666666666669E-01   1.7083333333333334E-01   1.7250000000000001E-01   1.7416666666666666E-01   1.7583333333333334E-01   1.7750000000000002E-01   1.7916666666666667E-01
 1.8083333333333335E-01   1.8250000000000002E-01   1.8416666666666667E-01   1.8583333333333335E-01   1.8750000000000000E-01   1.8916666666666668E-01   1.9083333333333335E-01   1.9250000000000000E-01   1.9416666666666668E-01
 1.9583333333333336E-01   1.9750000000000001E-01   1.9916666666666669E-01   2.0083333333333334E-01   2.0250000000000001E-01   2.0416666666666669E-01   2.0583333333333334E-01   2.0750000000000002E-01   2.0916666666666667E-01
 2.1083333333333334E-01   2.1250000000000002E-01   2.1416666666666667E-01   2.1583333333333335E-01   2.1750000000000003E-01   2.1916666666666668E-01   2.2083333333333335E-01   2.2250000000000000E-01   2.2416666666666668E-01
